epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,1663.89,1.8648,0.81158,0.96472,0.92143,0.91025,0.92553,0.41014,1.79807,0.77396,0.96697,0.00020425,0.00020425,0.00020425
70,1688.18,1.84031,0.80589,0.96572,0.92059,0.90616,0.9238,0.41394,1.78954,0.76529,0.96681,0.000198063,0.000198063,0.000198063
71,1712.1,1.85202,0.80135,0.96955,0.92198,0.90051,0.92103,0.4145,1.78516,0.76625,0.96601,0.000191875,0.000191875,0.000191875
72,1736.54,1.82385,0.79543,0.96513,0.91826,0.90657,0.91895,0.41485,1.79584,0.75865,0.96483,0.000185688,0.000185688,0.000185688
73,1761.19,1.82176,0.7869,0.95301,0.93448,0.92094,0.93383,0.42834,1.73947,0.74515,0.95623,0.0001795,0.0001795,0.0001795
74,1785.66,1.81026,0.7913,0.95461,0.92942,0.92051,0.93238,0.4308,1.72289,0.74058,0.95369,0.000173313,0.000173313,0.000173313
75,1810.44,1.77737,0.77413,0.94659,0.92728,0.92024,0.93414,0.43219,1.71858,0.73083,0.95287,0.000167125,0.000167125,0.000167125
76,1834.96,1.7841,0.78024,0.95651,0.93116,0.91878,0.93544,0.43295,1.74247,0.73183,0.95634,0.000160938,0.000160938,0.000160938
77,1862.69,1.76627,0.76502,0.95131,0.93933,0.9222,0.93687,0.43806,1.70151,0.7271,0.95183,0.00015475,0.00015475,0.00015475
78,1888.77,1.75296,0.75602,0.94602,0.93839,0.92221,0.93981,0.45224,1.66777,0.71183,0.9449,0.000148563,0.000148563,0.000148563
79,1915.56,1.72699,0.74905,0.94237,0.93174,0.92591,0.94038,0.44875,1.66661,0.71537,0.94632,0.000142375,0.000142375,0.000142375
80,1940.99,1.72547,0.74525,0.93784,0.93018,0.92904,0.93543,0.45275,1.65784,0.70295,0.94327,0.000136187,0.000136187,0.000136187
81,1965.94,1.7254,0.74751,0.94097,0.9206,0.93019,0.93807,0.46623,1.61001,0.69466,0.93599,0.00013,0.00013,0.00013
82,1991.37,1.70351,0.74046,0.93988,0.93341,0.9266,0.93504,0.45564,1.64318,0.69743,0.94,0.000123812,0.000123812,0.000123812
83,2016.82,1.69197,0.73642,0.9387,0.93496,0.92106,0.93664,0.46043,1.60735,0.69368,0.93344,0.000117625,0.000117625,0.000117625
84,2040.46,1.67039,0.73151,0.93102,0.93929,0.92239,0.94088,0.47421,1.59113,0.68185,0.93203,0.000111438,0.000111438,0.000111438
85,2063.72,1.67633,0.7312,0.93549,0.9368,0.92809,0.94265,0.47281,1.58342,0.67626,0.93153,0.00010525,0.00010525,0.00010525
86,2087.08,1.68968,0.73147,0.9325,0.93882,0.92416,0.94237,0.47028,1.59835,0.67275,0.93436,9.90625e-05,9.90625e-05,9.90625e-05
87,2109.39,1.66315,0.72053,0.93297,0.93486,0.92137,0.9427,0.47751,1.55646,0.67367,0.92665,9.2875e-05,9.2875e-05,9.2875e-05
88,2133.22,1.63128,0.7144,0.92965,0.94327,0.92895,0.94303,0.47871,1.55187,0.67675,0.9246,8.66875e-05,8.66875e-05,8.66875e-05
89,2158.4,1.62945,0.70629,0.92176,0.94382,0.92836,0.94771,0.49306,1.52578,0.6567,0.9203,8.05e-05,8.05e-05,8.05e-05
90,2181.06,1.65495,0.71994,0.93156,0.93765,0.93197,0.94806,0.48728,1.54558,0.66195,0.92171,7.43125e-05,7.43125e-05,7.43125e-05
91,2233.62,1.39817,0.63249,0.91539,0.93652,0.93344,0.94604,0.49673,1.51042,0.65297,0.91855,6.8125e-05,6.8125e-05,6.8125e-05
92,2257.62,1.36637,0.61528,0.91266,0.94196,0.93356,0.94647,0.50305,1.48981,0.64346,0.91631,6.19375e-05,6.19375e-05,6.19375e-05
93,2279.89,1.35237,0.61073,0.90775,0.94328,0.93257,0.94743,0.50954,1.46629,0.63841,0.91201,5.575e-05,5.575e-05,5.575e-05
94,2302.54,1.31699,0.60407,0.89954,0.94338,0.93369,0.94881,0.50674,1.47237,0.63539,0.91236,4.95625e-05,4.95625e-05,4.95625e-05
95,2324.78,1.31645,0.60156,0.89801,0.94381,0.93307,0.9471,0.51368,1.44487,0.62873,0.90862,4.3375e-05,4.3375e-05,4.3375e-05
96,2347.02,1.28897,0.59739,0.88752,0.94964,0.93689,0.95327,0.51676,1.44145,0.62542,0.90762,3.71875e-05,3.71875e-05,3.71875e-05
97,2368.83,1.27282,0.59052,0.88621,0.94422,0.93493,0.95038,0.52333,1.42419,0.62136,0.90446,3.1e-05,3.1e-05,3.1e-05
98,2391.04,1.25539,0.58029,0.88341,0.94656,0.93511,0.95204,0.52728,1.40821,0.61472,0.90286,2.48125e-05,2.48125e-05,2.48125e-05
99,2413.27,1.25048,0.58009,0.88502,0.94657,0.93562,0.95102,0.5243,1.41575,0.61575,0.90353,1.8625e-05,1.8625e-05,1.8625e-05
100,2434.71,1.24657,0.5769,0.88447,0.94623,0.93662,0.95098,0.52804,1.39759,0.61312,0.90104,1.24375e-05,1.24375e-05,1.24375e-05
